C_ID,Name,Email,Phone,Address,City,Country
1,John Smith,john.smith@example.com,555-1234,123 Elm St.,New York,USA
2,Jane Doe,jane.doe@example.com,555-5678,456 Oak Ave.,Los Angeles,USA
3,Ahmed Khan,ahmed.khan@example.com,555-2468,789 Pine Rd.,Toronto,Canada
4,Maria Gonzalez,maria.g@example.com,555-3697,321 Cedar Blvd.,London,UK
5,Diane Sparks,diana07@yahoo.com,001-475-005-9373,"56872 Stephanie Street Suite 171
Johnsonton, MA 58151",South Richardberg,Paraguay
6,Monica Park,james90@hotmail.com,703.785.9956x5644,"2138 Kimberly Extensions
Smithhaven, MO 75061",Smithmouth,Kuwait
7,Joseph Hendricks,ramirezjohn@hotmail.com,(580)732-8370x4195,"53391 Travis Spurs Suite 361
Matthewstad, CA 45266",Masseyport,Nepal
8,April Watts,sotoleroy@hill.org,+1-121-196-2061x286,"50622 Michael Stravenue
West Michaelside, TX 52584",Lake Sherylhaven,Uganda
9,Olivia Collins,alice17@yahoo.com,+1-729-038-9251,"639 James Locks
North Stephanie, SC 06220",Samuelmouth,Andorra
10,John Ramirez,david94@yahoo.com,001-992-656-8831,"6469 Jackson Summit Suite 770
Gabrielview, CA 28344",West Kristin,Lebanon
11,Crystal Wright,ihicks@gmail.com,001-168-100-9420x0131,"564 Thomas Mills
Walkerfurt, WV 53487",West Michaelmouth,Kenya
12,Erika Smith,cartermichael@adams.net,749-244-5787,"961 Jeremy Cove Suite 109
Lake Kristinaburgh, MA 08413",Wendytown,Norfolk Island
13,Sonya Murphy,tbuchanan@horn-freeman.biz,433.542.0892,"535 Steven Pike Apt. 184
Frankfurt, FL 46017",Nicholschester,Armenia
14,Michael Young,ashley70@hotmail.com,3017196283,"64027 Smith Motorway
Port Nicole, SD 54404",East William,Suriname
15,Brian Bonilla,valerie48@yahoo.com,9254425867,"407 Eric Mission Suite 460
Ramosburgh, MS 84487",Carrieburgh,French Southern Territories
16,Nicole Bradley,briddle@barnes.com,472-482-8750x163,"80262 Simon Fall
Port Christopher, LA 01213",West Williamberg,Samoa
17,Kristen Adams,omiller@simon.net,(469)143-0406,"18164 Dodson Street Suite 209
Port Mariahtown, WA 58316",Davidburgh,Faroe Islands
18,Zoe Coffey,emily57@liu.com,578-554-4413x004,"7822 Jennifer Club Suite 925
Kathryntown, PA 66061",Jerryton,Gambia
19,Adam Fernandez,stacey05@lopez.biz,820.095.7413x71714,"35269 Arthur Squares Apt. 798
New Ronald, IN 63188",Cabrerashire,Timor-Leste
20,Erin Brown DVM,osmith@morales-shaw.com,001-008-764-3874x44705,"4289 Buchanan Pike
Alanmouth, KY 93852",South Brooke,Chile
